Time Stamp;Packet Count;Mode;Coment Count;Attitude Valid;System Time;Switch Register;q1 (Main Sensor);q2 (Main Sensor);q3 (Main Sensor);q0 (Main Sensor);q1 (Aux Sensor);q2 (Aux Sensor);q3 (Aux Sensor);q0 (Aux Sensor);Ang Vel X (Main Sensor);Ang Vel Y (Main Sensor);Ang Vel Z (Main Sensor);Ang Vel X (Aux Sensor);Ang Vel Y (Aux Sensor);Ang Vel Z (Aux Sensor);result attitude propagator;result attitude propagator (aux);attitude mode;attitude mode (aux);ACS time;q1 (STS A);q2 (STS A);q3 (STS A);q0 (STS A);time STS A;q1 (STS B);q2 (STS B);q3 (STS B);q0 (STS B);time STS B;Sun Vector X;Sun Vector Y;Sun Vector Z;Magnetic Vector X;Magnetic Vector Y;Magnetic Vector Z;Wheel X Ang Vel;Wheel Y Ang Vel;Wheel Z Ang Vel;Location Vector X;Location Vector Y;Location Vector Z;q1 (Nadir Target);q2 (Nadir Target);q3 (Nadir Target);q0 (Nadir Target);Calculated Magnetic X;Calculated Magnetic Y;Calculated Magnetic Z;q1 (Target Attitude);q2 (Target Attitude);q3 (Target Attitude);q0 (Target Attitude);X Target Ang Vel;Y Target Ang Vel;Z Target Ang Vel;Target Wheel Torque X;Target Wheel Torque Y;Target Wheel Torque Z;System Current;Main Voltage;Batteray Current;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;Inverted Sum
611.3226;38561;Mode 12;5593;111001011000000;2018-10-09 01:50:05.500;01000011111111110010011100101001;0.6075341;-0.3447904;0.6545966;0.2890077;0.0561009;0.2697510;0.0423815;0.5495510;-0.0000333;-0.0000333;0.0000000;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538893554;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075324;-0.3447860;0.6546010;0.2890065;1538893277;0.0627689;-0.9382293;-0.3402733;0.0939324;-0.1349855;0.9863843;-6.3452163;451.8456726;-338.9401245;-6635.1289063;1644.8546143;741.8012695;0.1384251;0.7312859;-0.0373318;0.6668326;0.0000020;-0.0000004;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2717.4240150;15.9652000;122.2486974;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3F76
611.5924;38562;Mode 12;5593;111001011000000;2018-10-09 01:50:05.800;01000011111111110010011100101001;0.6075235;-0.3447844;0.6546121;0.2890019;0.0561009;0.2697510;0.0423815;0.5495510;-0.0000166;0.0000499;0.0000166;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538893823;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075299;-0.3447834;0.6546078;0.2889995;1538893527;0.0627689;-0.9382293;-0.3402733;0.0939324;-0.1349855;0.9863843;-6.3452163;451.7937012;-338.9442139;-6635.2714844;1645.1573486;739.8437500;0.1384198;0.7311896;-0.0373518;0.6669382;0.0000020;-0.0000004;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2728.7466151;15.9652000;122.0717818;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3E22
611.8626;38563;Mode 12;5594;111001011000000;2018-10-09 01:50:06.000;01000011111111110010011100101001;0.6075288;-0.3447862;0.6546066;0.2890008;0.0561009;0.2697510;0.0423815;0.5495510;-0.0000333;-0.0000166;0.0000000;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538894094;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075287;-0.3447821;0.6546100;0.2889985;1538893777;0.0627689;-0.9382293;-0.3402733;0.0939324;-0.1349855;0.9863843;-6.2725196;451.7980652;-338.9387512;-6635.4360352;1645.5101318;737.5627441;0.1384135;0.7310774;-0.0373751;0.6670613;0.0000020;-0.0000004;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2717.4240150;15.9652000;121.7179505;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;40AC
612.1324;38564;Mode 12;5594;111001011000000;2018-10-09 01:50:06.300;01000011111111110010011100101001;0.6075128;-0.3447939;0.6546226;0.2889890;0.0561009;0.2697510;0.0423815;0.5495510;-0.0000333;0.0000000;0.0000166;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538894364;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075155;-0.3447886;0.6546239;0.2889875;1538894027;0.0627689;-0.9382293;-0.3402733;0.0939324;-0.1349855;0.9863843;-6.2725196;451.7980652;-338.9328003;-6635.5527344;1645.7609863;735.9384766;0.1384090;0.7309974;-0.0373917;0.6671488;0.0000019;-0.0000004;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;4087.4586225;15.8696000;140.2940912;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;4135
612.4027;38565;Mode 12;5594;111001011000000;2018-10-09 01:50:06.600;01000011111111110010011100101001;0.6075230;-0.3447937;0.6546157;0.2889836;0.0561009;0.2697510;0.0423815;0.5495510;-0.0000333;-0.0000333;0.0000166;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538894634;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075219;-0.3447863;0.6546205;0.2889840;1538894277;0.0627689;-0.9382293;-0.3402733;0.0939324;-0.1349855;0.9863843;-6.2725196;451.8169250;-338.9288025;-6635.7163086;1646.1131592;733.6574707;0.1384027;0.7308851;-0.0374150;0.6672719;0.0000019;-0.0000003;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;4030.8456222;15.8696000;139.9402599;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3CA3
612.6724;38566;Mode 12;5594;111001011000000;2018-10-09 01:50:06.900;01000011111111110010011100101001;0.6075307;-0.3447826;0.6546075;0.2889993;0.0561009;0.2697510;0.0423815;0.5495510;-0.0000666;0.0000000;0.0000000;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538894904;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075343;-0.3447744;0.6546119;0.2889917;1538894527;0.0627689;-0.9382293;-0.3402733;0.0939324;-0.1349855;0.9863843;-6.2591505;451.8141479;-338.9168396;-6635.8784180;1646.4650879;731.3769531;0.1383964;0.7307730;-0.0374383;0.6673948;0.0000019;-0.0000003;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;4030.8456222;15.8696000;139.7633443;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3F9F
612.9427;38567;Mode 12;5594;111001011000000;2018-10-09 01:50:07.100;01000011111111110010011100101001;0.6075219;-0.3447814;0.6546132;0.2890062;0.0561009;0.2697510;0.0423815;0.5495510;-0.0000999;0.0000499;0.0000166;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538895174;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075353;-0.3447693;0.6546131;0.2889929;1538894777;0.0611233;-0.9383253;-0.3403081;0.0939324;-0.1349855;0.9863843;-6.2591505;451.7908936;-338.9154968;-6636.0400391;1646.8166504;729.0981445;0.1383901;0.7306608;-0.0374615;0.6675175;0.0000018;-0.0000003;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;4030.8456222;15.8696000;140.1171756;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3E9B
613.2125;38568;Mode 12;5594;111001011000000;2018-10-09 01:50:07.400;01000011111111110010011100101001;0.6075543;-0.3447577;0.6545985;0.2889998;0.0561009;0.2697510;0.0423815;0.5495510;0.0000000;0.0000166;0.0000499;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538895444;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075602;-0.3447524;0.6545935;0.2890054;1538895028;0.0611233;-0.9383253;-0.3403081;0.0939324;-0.1349855;0.9863843;-6.2591505;451.7989197;-338.9048767;-6636.1328125;1647.0177002;727.7946777;0.1383865;0.7305965;-0.0374748;0.6675878;0.0000018;-0.0000003;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;4030.8456222;15.8696000;140.1171756;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;408D
613.4838;38569;Mode 12;5594;111001011000000;2018-10-09 01:50:07.700;01000011111111110010011100101001;0.6075389;-0.3447615;0.6546140;0.2889923;0.0561009;0.2697510;0.0423815;0.5495510;-0.0000166;0.0000000;-0.0000499;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538895715;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075378;-0.3447633;0.6546160;0.2889883;1538895528;0.0611233;-0.9383253;-0.3403081;0.0939324;-0.1349855;0.9863843;-6.2591505;451.8485107;-338.8974304;-6636.2919922;1647.3526611;725.5598145;0.1383798;0.7304866;-0.0374972;0.6677083;0.0000018;-0.0000003;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;4030.8456222;15.8696000;139.9402599;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3B51
613.7540;38570;Mode 12;5594;111001011000000;2018-10-09 01:50:07.900;01000011111111110010011100101001;0.6075256;-0.3447724;0.6546255;0.2889809;0.0561009;0.2697510;0.0423815;0.5495510;-0.0000499;0.0000166;-0.0000499;0.0004144;-0.0003679;-0.0000843;FF;0;3;9;1538895985;0.0000000;0.0000000;0.0000000;1.0000000;0;0.6075265;-0.3447728;0.6546279;0.2889738;1538895778;0.0611233;-0.9383253;-0.3403081;0.0939324;-0.1349855;0.9863843;-6.3445549;451.8119202;-338.9008789;-6636.4521484;1647.7041016;723.2785645;0.1383735;0.7303742;-0.0375204;0.6678312;0.0000018;-0.0000003;0.0000311;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;4030.8456222;15.8696000;139.9402599;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3A88
