Time Stamp;Packet Count;Mode;Coment Count;Attitude Valid;System Time;Switch Register;q1 (Main Sensor);q2 (Main Sensor);q3 (Main Sensor);q0 (Main Sensor);q1 (Aux Sensor);q2 (Aux Sensor);q3 (Aux Sensor);q0 (Aux Sensor);Ang Vel X (Main Sensor);Ang Vel Y (Main Sensor);Ang Vel Z (Main Sensor);Ang Vel X (Aux Sensor);Ang Vel Y (Aux Sensor);Ang Vel Z (Aux Sensor);result attitude propagator;result attitude propagator (aux);attitude mode;attitude mode (aux);ACS time;q1 (STS A);q2 (STS A);q3 (STS A);q0 (STS A);time STS A;q1 (STS B);q2 (STS B);q3 (STS B);q0 (STS B);time STS B;Sun Vector X;Sun Vector Y;Sun Vector Z;Magnetic Vector X;Magnetic Vector Y;Magnetic Vector Z;Wheel X Ang Vel;Wheel Y Ang Vel;Wheel Z Ang Vel;Location Vector X;Location Vector Y;Location Vector Z;q1 (Nadir Target);q2 (Nadir Target);q3 (Nadir Target);q0 (Nadir Target);Calculated Magnetic X;Calculated Magnetic Y;Calculated Magnetic Z;q1 (Target Attitude);q2 (Target Attitude);q3 (Target Attitude);q0 (Target Attitude);X Target Ang Vel;Y Target Ang Vel;Z Target Ang Vel;Target Wheel Torque X;Target Wheel Torque Y;Target Wheel Torque Z;System Current;Main Voltage;Batteray Current;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;NCP;Inverted Sum
602.6866;35636;Mode 12;1518;111000011000000;2018-09-30 01:19:24.100;01000011111111110010011100101001;0.7333972;0.0880550;-0.6687085;0.0848757;0.0305369;0.2933583;0.0389015;0.5577343;-0.0000499;0.0000999;0.0000000;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759452104;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0804132;0.1304481;-0.9881887;0.0277777;-0.2139618;0.9764463;21.9009953;391.7836609;323.3794556;-6263.2363281;2809.8720703;-437.5227051;0.1865830;0.6583187;-0.1057555;0.7215394;-0.0000140;0.0000055;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2808.0048155;15.6784000;150.2013662;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3FF6
602.9564;35637;Mode 12;1518;111000011000000;2018-09-30 01:19:24.300;01000011111111110010011100101001;0.7333857;0.0880492;-0.6687230;0.0848660;0.0305369;0.2933583;0.0389015;0.5577343;0.0000832;-0.0001332;-0.0000333;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759452374;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0804132;0.1304481;-0.9881887;0.0277777;-0.2139618;0.9764463;21.9187222;391.8150635;323.3688049;-6263.0141602;2810.0551758;-439.4833984;0.1865678;0.6582147;-0.1057824;0.7216341;-0.0000141;0.0000055;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2774.0370153;15.6784000;149.6706194;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;4040
603.2266;35638;Mode 12;1518;111000011000000;2018-09-30 01:19:24.600;01000011111111110010011100101001;0.7333797;0.0880610;-0.6687272;0.0848735;0.0305369;0.2933583;0.0389015;0.5577343;-0.0000999;-0.0000499;-0.0000333;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759452644;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0804132;0.1304481;-0.9881887;0.0277777;-0.2139618;0.9764463;21.9311142;391.7458496;323.3561401;-6262.8286133;2810.2080078;-441.1174316;0.1865551;0.6581281;-0.1058048;0.7217132;-0.0000141;0.0000055;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2762.7144152;15.6784000;149.3167881;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;40E7
603.4979;35639;Mode 12;1518;111000011000000;2018-09-30 01:19:24.900;01000011111111110010011100101001;0.7333780;0.0880624;-0.6687290;0.0848722;0.0305369;0.2933583;0.0389015;0.5577343;0.0000000;-0.0000166;-0.0000166;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759452915;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0804132;0.1304481;-0.9881887;0.0277777;-0.2139618;0.9764463;21.9369640;391.7425842;323.3427734;-6262.5683594;2810.4213867;-443.4025879;0.1865373;0.6580070;-0.1058361;0.7218237;-0.0000141;0.0000055;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2762.7144152;15.6784000;149.4937037;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;3F9F
603.7667;35640;Mode 12;1518;111000011000000;2018-09-30 01:19:25.100;01000011111111110010011100101001;0.7333770;0.0880701;-0.6687284;0.0848773;0.0305369;0.2933583;0.0389015;0.5577343;-0.0000666;0.0000000;-0.0000166;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759453184;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0804132;0.1304481;-0.9881887;0.0277777;-0.2139618;0.9764463;21.9228191;391.7318115;323.3288879;-6262.3457031;2810.6040039;-445.3610840;0.1865221;0.6579031;-0.1058629;0.7219183;-0.0000141;0.0000055;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2762.7144152;15.6784000;149.4937037;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;4119
604.0369;35641;Mode 12;1518;111000011000000;2018-09-30 01:19:25.400;01000011111111110010011100101001;0.7333714;0.0880666;-0.6687362;0.0848684;0.0305369;0.2933583;0.0389015;0.5577343;0.0000666;-0.0000666;-0.0000333;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759453455;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0804132;0.1304481;-0.9881887;0.0277777;-0.2139618;0.9764463;21.9071960;391.7122803;323.3195801;-6262.1586914;2810.7561035;-446.9980469;0.1865093;0.6578162;-0.1058854;0.7219975;-0.0000142;0.0000055;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2774.0370153;15.6784000;149.4937037;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;407B
604.3077;35642;Mode 12;1518;111000011000000;2018-09-30 01:19:25.700;01000011111111110010011100101001;0.7333733;0.0880636;-0.6687346;0.0848681;0.0305369;0.2933583;0.0389015;0.5577343;0.0000166;0.0000166;0.0000166;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759453725;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0804132;0.1304481;-0.9881887;0.0277777;-0.2139618;0.9764463;21.9071960;391.6937866;323.3077087;-6261.8964844;2810.9685059;-449.2832031;0.1864916;0.6576949;-0.1059167;0.7221079;-0.0000142;0.0000055;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2762.7144152;15.6784000;149.4937037;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;4006
604.5764;35643;Mode 12;1518;111000011000000;2018-09-30 01:19:25.900;01000011111111110010011100101001;0.7333731;0.0880654;-0.6687351;0.0848635;0.0305369;0.2933583;0.0389015;0.5577343;0.0000166;0.0000000;-0.0000333;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759453994;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0804132;0.1304481;-0.9881887;0.0277777;-0.2139618;0.9764463;21.9322472;391.6970215;323.2983093;-6261.6347656;2811.1804199;-451.5656738;0.1864738;0.6575738;-0.1059480;0.7222182;-0.0000142;0.0000056;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2762.7144152;15.6784000;149.6706194;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;4363
604.8467;35644;Mode 12;1518;111000011000000;2018-09-30 01:19:26.200;01000011111111110010011100101001;0.7333722;0.0880728;-0.6687338;0.0848749;0.0305369;0.2933583;0.0389015;0.5577343;-0.0000999;0.0000000;0.0000166;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759454265;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0805554;0.1306788;-0.9881467;0.0277777;-0.2139618;0.9764463;21.9542274;391.6694641;323.2883301;-6261.4462891;2811.3320313;-453.2019043;0.1864610;0.6574870;-0.1059704;0.7222973;-0.0000142;0.0000056;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2785.3596154;15.6784000;150.0244506;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;4222
605.1170;35645;Mode 12;1518;111000011000000;2018-09-30 01:19:26.500;01000011111111110010011100101001;0.7333739;0.0880713;-0.6687319;0.0848762;0.0305369;0.2933583;0.0389015;0.5577343;0.0000000;0.0000166;0.0000166;-0.0001368;-0.0004434;0.0000087;1;0;4;9;759454535;0.0000000;0.0000000;0.0000000;1.0000000;0;-0.9730045;0.2238497;-0.0522322;0.0206303;758364411;-0.0804132;0.1304481;-0.9881887;0.0277777;-0.2139618;0.9764463;21.9608860;391.6595764;323.2816162;-6261.1831055;2811.5437012;-455.4877930;0.1864433;0.6573657;-0.1060017;0.7224076;-0.0000143;0.0000056;0.0000289;0.0000000;0.0000000;0.0000000;1.0000000;0.0000000;0.0000000;0.0000000;-53955964742664192.0000000;-0.0000000;-2700.5644531;2774.0370153;15.6784000;149.6706194;65535;65535;30;732;165;4095;1008;241;4095;74;255;4095;154;386;4095;740;425;4095;769;594;4095;876;712;4095;1128;922;4095;607;313;4032;415;625;3975;44;16;3949;997;854;3905;364;534;3859;357;424;3845;1227;325;3641;585;188;3574;1202;137;3562;80;992;3525;1063;89;3374;553;942;3329;828;583;3284;1103;393;3235;928;336;3162;581;805;3084;1116;811;3084;1198;823;3068;1323;795;3022;1322;382;3021;1045;93;2955;299;267;2902;65278;65278;65278;42B4
