System Time;q1 (STS B);q2 (STS B);q3 (STS B);q0 (STS B);time STS B
2018/10/09 01:50:05.500;0.6075324;-0.344786;0.654601;0.2890065;1538893277
2018/10/09 01:50:05.800;0.6075299;-0.3447834;0.6546078;0.2889995;1538893527
2018/10/09 01:50:06.000;0.6075287;-0.3447821;0.65461;0.2889985;1538893777
2018/10/09 01:50:06.300;0.6075155;-0.3447886;0.6546239;0.2889875;1538894027
2018/10/09 01:50:06.600;0.6075219;-0.3447863;0.6546205;0.288984;1538894277
2018/10/09 01:50:06.900;0.6075343;-0.3447744;0.6546119;0.2889917;1538894527
2018/10/09 01:50:07.100;0.6075353;-0.3447693;0.6546131;0.2889929;1538894777
2018/10/09 01:50:07.400;0.6075602;-0.3447524;0.6545935;0.2890054;1538895028
2018/10/09 01:50:07.700;0.6075378;-0.3447633;0.654616;0.2889883;1538895528
2018/10/09 01:50:07.900;0.6075265;-0.3447728;0.6546279;0.2889738;1538895778
2018/10/09 01:50:08.200;0.6075407;-0.3447627;0.654613;0.2889896;1538896028
2018/10/09 01:50:08.500;0.6075261;-0.3447723;0.6546265;0.2889786;1538896278
2018/10/09 01:50:08.700;0.6075358;-0.3447636;0.65462;0.2889829;1538896528
2018/10/09 01:50:09.000;0.6075344;-0.3447596;0.6546245;0.2889807;1538896778
2018/10/09 01:50:09.300;0.6075317;-0.3447668;0.6546262;0.2889739;1538897028
2018/10/09 01:50:09.600;0.6075416;-0.3447599;0.6546155;0.2889854;1538897278
2018/10/09 01:50:09.800;0.6075167;-0.3447762;0.6546386;0.288966;1538897528
2018/10/09 01:50:10.100;0.607516;-0.344776;0.654637;0.2889715;1538897778
2018/10/09 01:50:10.400;0.6075361;-0.3447624;0.6546218;0.2889795;1538898028
2018/10/09 01:50:10.600;0.6075487;-0.3447535;0.65461;0.2889906;1538898278
2018/10/09 01:50:10.900;0.6075338;-0.3447629;0.6546237;0.2889799;1538898528
2018/10/09 01:50:11.200;0.6075504;-0.344754;0.65461;0.2889864;1538899028
2018/10/09 01:50:11.400;0.60753;-0.3447627;0.654631;0.2889714;1538899278
2018/10/09 01:50:11.700;0.6075167;-0.3447758;0.6546429;0.2889569;1538899528
2018/10/09 01:50:12.000;0.6075447;-0.3447498;0.6546218;0.2889771;1538899779
2018/10/09 01:50:12.300;0.60755;-0.3447565;0.6546143;0.2889746;1538900029
2018/10/09 01:50:12.500;0.607563;-0.3447489;0.6546038;0.28898;1538900279
2018/10/09 01:50:12.800;0.6075206;-0.3447709;0.6546417;0.2889572;1538900529
2018/10/09 01:50:13.100;0.6075789;-0.344737;0.6545918;0.288988;1538900779
2018/10/09 01:50:13.300;0.6075338;-0.344771;0.6546299;0.2889561;1538901029
2018/10/09 01:50:13.600;0.6075442;-0.344766;0.6546197;0.2889633;1538901279
2018/10/09 01:50:13.900;0.6075507;-0.3447652;0.6546136;0.2889643;1538901529
2018/10/09 01:50:14.100;0.6075655;-0.3447593;0.6546023;0.2889658;1538901779
2018/10/09 01:50:14.400;0.6075759;-0.3447543;0.6545924;0.2889726;1538902279
2018/10/09 01:50:14.700;0.6075381;-0.3447753;0.6546272;0.2889479;1538902529
2018/10/09 01:50:15.000;0.6075362;-0.3447783;0.654629;0.2889444;1538902779
2018/10/09 01:50:15.200;0.6075737;-0.3447575;0.6545955;0.2889664;1538903029
2018/10/09 01:50:15.500;0.6075434;-0.3447733;0.6546271;0.2889395;1538903279
2018/10/09 01:50:15.800;0.6075452;-0.3447775;0.6546248;0.2889359;1538903529
2018/10/09 01:50:16.000;0.6075609;-0.3447685;0.65461;0.2889469;1538903779
2018/10/09 01:50:16.300;0.6075652;-0.3447641;0.6546087;0.2889459;1538904029
2018/10/09 01:50:16.600;0.6075704;-0.3447619;0.6546066;0.2889428;1538904279
2018/10/09 01:50:16.800;0.6075771;-0.344762;0.6546012;0.2889407;1538904530
2018/10/09 01:50:17.100;0.6075867;-0.3447543;0.6545942;0.2889453;1538904780
2018/10/09 01:50:17.400;0.6075737;-0.3447667;0.6546077;0.2889278;1538905030
2018/10/09 01:50:17.700;0.6076017;-0.3447514;0.6545821;0.2889448;1538905280
2018/10/09 01:50:17.900;0.607601;-0.3447477;0.6545897;0.2889334;1538905780
2018/10/09 01:50:18.200;0.6075717;-0.3447722;0.6546156;0.2889073;1538906030
2018/10/09 01:50:18.500;0.6076057;-0.3447492;0.6545885;0.2889246;1538906280
2018/10/09 01:50:18.700;0.6076028;-0.3447489;0.6545932;0.2889208;1538906530
2018/10/09 01:50:19.000;0.607579;-0.3447642;0.6546162;0.2889;1538906780
2018/10/09 01:50:19.300;0.6075913;-0.3447576;0.6546075;0.288902;1538907030
2018/10/09 01:50:19.500;0.6076054;-0.3447493;0.6545966;0.2889071;1538907280
2018/10/09 01:50:19.800;0.6076003;-0.3447562;0.6546013;0.2888986;1538907530
2018/10/09 01:50:20.100;0.607628;-0.3447385;0.6545787;0.2889128;1538907780
2018/10/09 01:50:20.400;0.6076038;-0.3447559;0.6546009;0.2888927;1538908030
2018/10/09 01:50:20.600;0.6076001;-0.3447576;0.6546067;0.2888852;1538908280
2018/10/09 01:50:20.900;0.6076089;-0.3447488;0.6546021;0.2888879;1538908530
2018/10/09 01:50:21.200;0.6076256;-0.344744;0.6545884;0.2888894;1538909030
2018/10/09 01:50:21.400;0.6075909;-0.3447647;0.6546186;0.2888693;1538909281
2018/10/09 01:50:21.700;0.6076229;-0.3447494;0.6545902;0.2888847;1538909531
2018/10/09 01:50:22.000;0.607619;-0.3447491;0.6545957;0.288881;1538909781
2018/10/09 01:50:22.200;0.6076181;-0.3447509;0.6546009;0.2888686;1538910031
2018/10/09 01:50:22.500;0.6076221;-0.3447465;0.654597;0.2888741;1538910281
2018/10/09 01:50:22.800;0.607609;-0.3447531;0.6546106;0.2888631;1538910531
2018/10/09 01:50:23.100;0.6076421;-0.344735;0.6545823;0.2888795;1538910781
2018/10/09 01:50:23.300;0.6076154;-0.3447531;0.6546063;0.2888593;1538911031
2018/10/09 01:50:23.600;0.6076031;-0.3447547;0.6546189;0.2888549;1538911281
2018/10/09 01:50:23.900;0.6076217;-0.3447503;0.6546025;0.2888578;1538911531
2018/10/09 01:50:24.100;0.6076511;-0.3447287;0.6545789;0.2888754;1538911781
2018/10/09 01:50:24.400;0.6076618;-0.3447266;0.6545693;0.2888769;1538912031
2018/10/09 01:50:24.700;0.6076389;-0.3447379;0.6545914;0.2888617;1538912531
2018/10/09 01:50:25.000;0.6076526;-0.3447279;0.6545801;0.2888704;1538912781
2018/10/09 01:50:25.200;0.6076168;-0.3447554;0.6546084;0.2888494;1538913031
2018/10/09 01:50:25.500;0.607635;-0.3447407;0.6545945;0.2888592;1538913281
2018/10/09 01:50:25.800;0.6076411;-0.3447379;0.6545879;0.2888651;1538913531
2018/10/09 01:50:26.000;0.6076403;-0.3447397;0.6545857;0.2888695;1538913781
2018/10/09 01:50:26.300;0.6076038;-0.3447617;0.6546181;0.2888462;1538914032
2018/10/09 01:50:26.600;0.6076337;-0.3447445;0.6545902;0.2888675;1538914282
2018/10/09 01:50:26.800;0.6076395;-0.3447437;0.6545835;0.2888713;1538914532
2018/10/09 01:50:27.100;0.6076142;-0.3447556;0.6546069;0.2888573;1538914782
2018/10/09 01:50:27.400;0.6076193;-0.3447497;0.6546023;0.2888643;1538915032
2018/10/09 01:50:27.700;0.6076191;-0.3447478;0.654605;0.2888607;1538915282
2018/10/09 01:50:27.900;0.6076276;-0.3447424;0.6545972;0.288867;1538915782
2018/10/09 01:50:28.200;0.6076325;-0.3447346;0.6545936;0.2888742;1538916032
2018/10/09 01:50:28.500;0.6076201;-0.3447378;0.6546049;0.2888707;1538916282
2018/10/09 01:50:28.700;0.6076267;-0.3447332;0.6545984;0.2888772;1538916532
2018/10/09 01:50:29.000;0.6076357;-0.344724;0.6545902;0.288888;1538916782
2018/10/09 01:50:29.300;0.6076355;-0.344722;0.6545928;0.2888849;1538917032
2018/10/09 01:50:29.500;0.6076275;-0.3447222;0.6546012;0.2888822;1538917282
2018/10/09 01:50:29.800;0.6076079;-0.3447348;0.6546207;0.2888639;1538917532
2018/10/09 01:50:30.100;0.6076274;-0.3447183;0.6546041;0.2888806;1538917782
2018/10/09 01:50:30.400;0.6076226;-0.3447182;0.6546103;0.2888769;1538918032
2018/10/09 01:50:30.600;0.6076394;-0.3447022;0.6545994;0.2888851;1538918282
2018/10/09 01:50:30.900;0.6076467;-0.3446952;0.6545944;0.2888894;1538918532
2018/10/09 01:50:31.200;0.6076148;-0.3447164;0.6546261;0.2888595;1538918783
2018/10/09 01:50:31.400;0.607625;-0.344704;0.6546214;0.2888636;1538919283
2018/10/09 01:50:31.700;0.607662;-0.3446776;0.6545922;0.2888839;1538919533
2018/10/09 01:50:32.000;0.6076279;-0.344693;0.6546239;0.2888649;1538919783
